epoch,train_loss,val_loss,test_loss,accuracy,f1_weighted,f1_macro
1,2.695656602793207,2.622124914753481,2.6836542460848305,0.06985294117647059,0.017381395405034767,0.018764946668818498
2,2.5997906763218404,2.6214520332998017,2.676189676803701,0.09191176470588236,0.04848621191556476,0.04755902343578567
3,2.575159326172176,2.5942448003705576,2.681889006320168,0.09191176470588236,0.052634821253902064,0.05290412599081496
4,2.543565353511069,2.5813358859382434,2.6570505070335724,0.1213235294117647,0.07141008932737294,0.06981809952061667
5,2.519308673262031,2.592220749802255,2.6635803518926395,0.11029411764705882,0.05308563904018801,0.05284564239757394
6,2.506627630848455,2.6700518210435704,2.690321688704631,0.12867647058823528,0.07728724628366834,0.08055981447434113
7,2.4715349523565404,2.5639854665172055,2.653663788648213,0.09558823529411764,0.07267037157073604,0.0722864997879848
8,2.432964705742931,2.550356033543379,2.652496602605371,0.10661764705882353,0.08435610080423618,0.08377018073970263
9,2.4255694882564636,2.6608827043723355,2.7277629953973435,0.13602941176470587,0.10274636424347354,0.10355594616732446
10,2.4025622165598577,2.629504136933612,2.7140133801628563,0.09191176470588236,0.0671797675264556,0.06789649647048947
