epoch,train_loss,val_loss,test_loss,accuracy,f1_weighted,f1_macro
1,1.8194610010508865,0.5376044199956629,0.5930796640493687,0.8639705882352942,0.8646227316675855,0.8641607936766567
2,0.45597289581184947,0.4919220380389826,0.47431804074770245,0.9007352941176471,0.9015486063801242,0.9015158562683859
3,0.3266025714494895,0.3557234649723631,0.40490347012268846,0.9411764705882353,0.9418988297913967,0.940685281166625
4,0.32690163677110895,0.5365940215527472,0.6536951554462657,0.9154411764705882,0.9138961899980623,0.9120405246334168
5,0.3294709642353493,0.4545943626400001,0.5746826144118409,0.9448529411764706,0.9450017973513466,0.9439718636999352
6,0.27605565792213105,0.6456086853919147,0.7756805097422016,0.9301470588235294,0.9305460248800008,0.9305658921592812
7,0.21293995742376104,0.47548961188689576,0.6642791973492846,0.9191176470588235,0.9196585887314008,0.9190426260180093
8,0.20097862207804978,0.34769543062793024,0.6631302673392296,0.9375,0.9376642592262222,0.9374925805578712
9,0.3380464053821118,0.6455790361552073,0.47335723673802194,0.9448529411764706,0.9456228184986668,0.9454286928637777
10,0.22119585347741297,0.6232637415054474,0.7042815901777041,0.9264705882352942,0.926266163258703,0.9265624246277616
