epoch,train_loss,val_loss,test_loss,accuracy,f1_weighted,f1_macro
1,1.7646304611776886,0.5310624958646597,0.5080464007166002,0.8382352941176471,0.8307812215529151,0.8318252124926155
2,0.5163805683995307,0.42621650429099084,0.36176595725244914,0.9448529411764706,0.9450353424412834,0.9448853205913539
3,0.4019250997360427,0.6303096345063646,0.4201172700242226,0.9522058823529411,0.9522373435712579,0.9525097882507413
4,0.3702343696580599,0.5999109767359594,0.4797478366638809,0.9448529411764706,0.9447401840578896,0.9442315529286004
5,0.29363133086254006,0.8339100287783916,0.7651769097639329,0.9264705882352942,0.9259282433775967,0.9264179839410829
6,0.32426774004888825,0.567044903324097,0.620798722220077,0.9448529411764706,0.9453266274073222,0.9455015943814783
7,0.2374151440437753,0.7380745567341386,0.6293784908660318,0.9448529411764706,0.9451694232156754,0.9450504638551596
8,0.18534722259130165,0.8063689224265486,0.607570135074207,0.9448529411764706,0.9449164017947815,0.9450725310719272
9,0.12115340452829447,0.5930208706236725,0.5564660675611343,0.9411764705882353,0.9409843442054528,0.9413071514377229
10,0.08567636302980994,0.5934345061401866,0.41731215155195933,0.9558823529411765,0.9557260536423468,0.9560697080445383
