epoch,train_loss,val_loss,test_loss,accuracy,f1_weighted,f1_macro
1,1.9237874759505333,1.1724801604598212,1.1341073793523453,0.6544117647058824,0.6536508617207988,0.6554950789783563
2,0.8378353110892701,0.5567138110359656,0.5428490594905966,0.8529411764705882,0.8542092074849753,0.8547401498433852
3,0.5139418761782925,0.3544752947518746,0.35043812455499873,0.9007352941176471,0.9012836884791029,0.9018843670027901
4,0.35081690495707224,0.28963278723378905,0.24343284679686322,0.9375,0.9371722150371722,0.9380088123990563
5,0.23835342635193144,0.22172900331911125,0.2550122270031887,0.9411764705882353,0.9411112781538679,0.9407213256277566
6,0.18548731745395802,0.3135713430094048,0.2993005972684306,0.9117647058823529,0.9099902679719754,0.9092383730109287
7,0.12648385268817017,0.3397656696817642,0.2480729510596789,0.9375,0.9385444354394792,0.9378095733563852
8,0.12718597340425492,0.3873781711412972,0.3675149414030945,0.9264705882352942,0.9267775794907998,0.9260591077109546
9,0.10643795046272671,0.343603873604778,0.23182412936276867,0.9522058823529411,0.9521163734719769,0.9522271376167779
10,0.06638105290001743,0.29799552552738806,0.33669856203007786,0.9485294117647058,0.9483746367744045,0.9481503515338102
11,0.04724112863499395,0.2976054018432089,0.3746351954554591,0.9485294117647058,0.9481392200642136,0.9476021135452511
12,0.03930896929787813,0.27053490464963925,0.21523744373596,0.9669117647058824,0.9667719307884748,0.9666990755187619
13,0.016764525231415344,0.25884409310258377,0.2438780436230659,0.9632352941176471,0.9628961738235858,0.9629105481239627
14,0.012021709842817772,0.26070986511989075,0.2323167938430903,0.9632352941176471,0.9629830921431402,0.9632715022348263
15,0.008554447514569978,0.25039599319639433,0.23889180987659048,0.9558823529411765,0.9555292881057637,0.9557456262420514
16,0.013028402314105734,0.26062609607738707,0.21178860510254333,0.9632352941176471,0.9631439807435828,0.9631984664373759
17,0.0098922364734662,0.2531657791507475,0.2305024189348949,0.9558823529411765,0.9555292881057637,0.9557456262420514
18,0.010682309397196877,0.243060121366005,0.21903572680628927,0.9558823529411765,0.9555292881057637,0.9557456262420514
19,0.007877187717777323,0.2497912766403309,0.209359068527085,0.9595588235294118,0.9593131907867251,0.9596148801113051
20,0.00688927128854374,0.2519361288202978,0.2346568376314655,0.9558823529411765,0.955621142389691,0.9556648997675966
1,1.9237874759505333,1.1724801604598212,1.1341073793523453,0.6544117647058824,0.6536508617207988,0.6554950789783563
2,0.8378353110892701,0.5567138110359656,0.5428490594905966,0.8529411764705882,0.8542092074849753,0.8547401498433852
3,0.5139418761782925,0.3544752947518746,0.35043812455499873,0.9007352941176471,0.9012836884791029,0.9018843670027901
4,0.35081690495707224,0.28963278723378905,0.24343284679686322,0.9375,0.9371722150371722,0.9380088123990563
5,0.23835342635193144,0.22172900331911125,0.2550122270031887,0.9411764705882353,0.9411112781538679,0.9407213256277566
